2025-07-28 14:49:46,382 - INFO - A new study created in Journal with name: model-population-gkan-population_gkan_no_mult
2025-07-28 16:54:54,529 - INFO - Trial 19 finished with value: 1.1289318536000792e-05 and parameters: {'lr': 0.0008419203053683021, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.00021139912552319823, 'lamb_h_net': 1.0451781830728886e-06, 'grid_size_g_net': 17, 'spline_order_g_net': 1, 'range_limit_g_net': 2, 'mu_1_g_net': 0.4, 'mu_2_g_net': 0.7000000000000001, 'hidden_dim_g_net': 2, 'grid_size_h_net': 16, 'spline_order_h_net': 3, 'range_limit_h_net': 2, 'mu_1_h_net': 0.9, 'mu_2_h_net': 0.4, 'hidden_dim_h_net': 1}. Best is trial 16 with value: 1.0552290405030362e-05.
2025-07-28 16:57:43,493 - INFO - Trial 20 finished with value: 0.00011235126294195652 and parameters: {'lr': 0.0012346904388361314, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 1.2953387052320834e-06, 'lamb_h_net': 4.791912568237062e-06, 'grid_size_g_net': 20, 'spline_order_g_net': 1, 'range_limit_g_net': 3, 'mu_1_g_net': 0.7000000000000001, 'mu_2_g_net': 0.9, 'hidden_dim_g_net': 5, 'grid_size_h_net': 13, 'spline_order_h_net': 3, 'range_limit_h_net': 5, 'mu_1_h_net': 0.4, 'mu_2_h_net': 0.7000000000000001, 'hidden_dim_h_net': 6}. Best is trial 16 with value: 1.0552290405030362e-05.
2025-07-28 17:00:44,639 - INFO - Trial 21 finished with value: 1.7860966181615368e-05 and parameters: {'lr': 0.0008078587517306934, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.000241922030246967, 'lamb_h_net': 1.0734093680863805e-06, 'grid_size_g_net': 17, 'spline_order_g_net': 1, 'range_limit_g_net': 2, 'mu_1_g_net': 0.4, 'mu_2_g_net': 0.7000000000000001, 'hidden_dim_g_net': 2, 'grid_size_h_net': 16, 'spline_order_h_net': 3, 'range_limit_h_net': 2, 'mu_1_h_net': 0.9, 'mu_2_h_net': 0.4, 'hidden_dim_h_net': 1}. Best is trial 16 with value: 1.0552290405030362e-05.
2025-07-28 17:02:48,535 - INFO - Trial 22 finished with value: 7.531063602073118e-05 and parameters: {'lr': 0.0007007810681726721, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 1.809752504365242e-05, 'lamb_h_net': 2.8801930416972133e-05, 'grid_size_g_net': 18, 'spline_order_g_net': 1, 'range_limit_g_net': 2, 'mu_1_g_net': 0.5, 'mu_2_g_net': 0.7000000000000001, 'hidden_dim_g_net': 1, 'grid_size_h_net': 15, 'spline_order_h_net': 3, 'range_limit_h_net': 2, 'mu_1_h_net': 0.9, 'mu_2_h_net': 0.4, 'hidden_dim_h_net': 2}. Best is trial 16 with value: 1.0552290405030362e-05.
2025-07-28 17:07:09,087 - INFO - Trial 23 finished with value: 6.151516572572291e-05 and parameters: {'lr': 0.0012685210299334577, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 6.113766253849892e-05, 'lamb_h_net': 3.0544020735858217e-06, 'grid_size_g_net': 16, 'spline_order_g_net': 1, 'range_limit_g_net': 4, 'mu_1_g_net': 0.30000000000000004, 'mu_2_g_net': 1.0, 'hidden_dim_g_net': 3, 'grid_size_h_net': 17, 'spline_order_h_net': 3, 'range_limit_h_net': 4, 'mu_1_h_net': 0.9, 'mu_2_h_net': 0.30000000000000004, 'hidden_dim_h_net': 1}. Best is trial 16 with value: 1.0552290405030362e-05.
2025-07-28 17:09:41,063 - INFO - Trial 24 finished with value: 2.0284596757846884e-05 and parameters: {'lr': 0.002598840211124354, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.00045763006046232996, 'lamb_h_net': 1.0920984700570638e-06, 'grid_size_g_net': 14, 'spline_order_g_net': 1, 'range_limit_g_net': 1, 'mu_1_g_net': 0.6, 'mu_2_g_net': 0.7000000000000001, 'hidden_dim_g_net': 2, 'grid_size_h_net': 12, 'spline_order_h_net': 3, 'range_limit_h_net': 1, 'mu_1_h_net': 0.7000000000000001, 'mu_2_h_net': 0.2, 'hidden_dim_h_net': 2}. Best is trial 16 with value: 1.0552290405030362e-05.
2025-07-28 17:13:12,492 - INFO - Trial 25 finished with value: 4.1963678086176515e-05 and parameters: {'lr': 0.0016668520739975697, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 1.4847421478557278e-05, 'lamb_h_net': 5.139319888066021e-06, 'grid_size_g_net': 19, 'spline_order_g_net': 1, 'range_limit_g_net': 3, 'mu_1_g_net': 0.4, 'mu_2_g_net': 0.9, 'hidden_dim_g_net': 1, 'grid_size_h_net': 15, 'spline_order_h_net': 3, 'range_limit_h_net': 3, 'mu_1_h_net': 1.0, 'mu_2_h_net': 0.4, 'hidden_dim_h_net': 4}. Best is trial 16 with value: 1.0552290405030362e-05.
2025-07-28 17:17:07,076 - INFO - Trial 26 finished with value: 0.0003087517397943884 and parameters: {'lr': 0.005391440622550687, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 0.0014471531134386804, 'lamb_h_net': 0.00023587905817919219, 'grid_size_g_net': 17, 'spline_order_g_net': 2, 'range_limit_g_net': 5, 'mu_1_g_net': 0.5, 'mu_2_g_net': 0.8, 'hidden_dim_g_net': 3, 'grid_size_h_net': 18, 'spline_order_h_net': 3, 'range_limit_h_net': 2, 'mu_1_h_net': 0.4, 'mu_2_h_net': 0.5, 'hidden_dim_h_net': 3}. Best is trial 16 with value: 1.0552290405030362e-05.
2025-07-28 17:20:44,314 - INFO - Trial 27 finished with value: 6.906640192028135e-05 and parameters: {'lr': 0.0009960468229783738, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 4.60956755351712e-06, 'lamb_h_net': 4.326680046223035e-05, 'grid_size_g_net': 20, 'spline_order_g_net': 1, 'range_limit_g_net': 2, 'mu_1_g_net': 0.8, 'mu_2_g_net': 0.5, 'hidden_dim_g_net': 2, 'grid_size_h_net': 14, 'spline_order_h_net': 2, 'range_limit_h_net': 4, 'mu_1_h_net': 0.6, 'mu_2_h_net': 0.6, 'hidden_dim_h_net': 4}. Best is trial 16 with value: 1.0552290405030362e-05.
2025-07-28 17:25:42,375 - INFO - Trial 28 finished with value: 2.511009188310709e-05 and parameters: {'lr': 0.000610506519173433, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.00019199721132367206, 'lamb_h_net': 1.3211987870066086e-05, 'grid_size_g_net': 15, 'spline_order_g_net': 2, 'range_limit_g_net': 1, 'mu_1_g_net': 0.2, 'mu_2_g_net': 0.7000000000000001, 'hidden_dim_g_net': 6, 'grid_size_h_net': 16, 'spline_order_h_net': 3, 'range_limit_h_net': 5, 'mu_1_h_net': 0.9, 'mu_2_h_net': 0.2, 'hidden_dim_h_net': 2}. Best is trial 16 with value: 1.0552290405030362e-05.
2025-07-28 17:40:40,255 - INFO - Trial 29 finished with value: 3.43600804626476e-05 and parameters: {'lr': 0.00252945058653169, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 3.906239419983569e-05, 'lamb_h_net': 8.200832956302024e-06, 'grid_size_g_net': 17, 'spline_order_g_net': 1, 'range_limit_g_net': 7, 'mu_1_g_net': 0.8, 'mu_2_g_net': 1.0, 'hidden_dim_g_net': 6, 'grid_size_h_net': 18, 'spline_order_h_net': 2, 'range_limit_h_net': 2, 'mu_1_h_net': 0.8, 'mu_2_h_net': 0.8, 'hidden_dim_h_net': 3}. Best is trial 16 with value: 1.0552290405030362e-05.
2025-07-28 17:57:28,182 - INFO - Trial 30 finished with value: 6.62937163724564e-05 and parameters: {'lr': 0.00371673117285302, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 5.664961864712432e-06, 'lamb_h_net': 2.5390438009082275e-06, 'grid_size_g_net': 8, 'spline_order_g_net': 1, 'range_limit_g_net': 3, 'mu_1_g_net': 0.6, 'mu_2_g_net': 0.9, 'hidden_dim_g_net': 1, 'grid_size_h_net': 17, 'spline_order_h_net': 3, 'range_limit_h_net': 3, 'mu_1_h_net': 0.30000000000000004, 'mu_2_h_net': 0.30000000000000004, 'hidden_dim_h_net': 4}. Best is trial 16 with value: 1.0552290405030362e-05.
2025-07-28 18:08:33,726 - INFO - Trial 31 finished with value: 1.5722445823485032e-05 and parameters: {'lr': 0.0020894099933579614, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 1.6420024346714374e-05, 'lamb_h_net': 1.5809339887414287e-06, 'grid_size_g_net': 18, 'spline_order_g_net': 1, 'range_limit_g_net': 2, 'mu_1_g_net': 0.5, 'mu_2_g_net': 0.8, 'hidden_dim_g_net': 6, 'grid_size_h_net': 20, 'spline_order_h_net': 3, 'range_limit_h_net': 3, 'mu_1_h_net': 0.6, 'mu_2_h_net': 0.6, 'hidden_dim_h_net': 6}. Best is trial 16 with value: 1.0552290405030362e-05.
2025-07-28 18:12:42,037 - INFO - Trial 32 finished with value: 1.9296927348477766e-05 and parameters: {'lr': 0.0016171898615232445, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 0.00011705077912522632, 'lamb_h_net': 2.9159350638594633e-06, 'grid_size_g_net': 19, 'spline_order_g_net': 1, 'range_limit_g_net': 2, 'mu_1_g_net': 0.4, 'mu_2_g_net': 0.8, 'hidden_dim_g_net': 6, 'grid_size_h_net': 20, 'spline_order_h_net': 3, 'range_limit_h_net': 1, 'mu_1_h_net': 0.5, 'mu_2_h_net': 0.6, 'hidden_dim_h_net': 6}. Best is trial 16 with value: 1.0552290405030362e-05.
2025-07-28 18:23:23,427 - INFO - Trial 33 finished with value: 2.056031189567875e-05 and parameters: {'lr': 0.0033918455819669686, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 1.0217372205009256e-05, 'lamb_h_net': 9.619232067065746e-06, 'grid_size_g_net': 18, 'spline_order_g_net': 1, 'range_limit_g_net': 2, 'mu_1_g_net': 0.5, 'mu_2_g_net': 0.5, 'hidden_dim_g_net': 5, 'grid_size_h_net': 19, 'spline_order_h_net': 3, 'range_limit_h_net': 2, 'mu_1_h_net': 0.7000000000000001, 'mu_2_h_net': 0.4, 'hidden_dim_h_net': 5}. Best is trial 16 with value: 1.0552290405030362e-05.
2025-07-28 18:30:59,803 - INFO - Trial 34 finished with value: 1.3658800526172854e-05 and parameters: {'lr': 0.001933919469649239, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 2.5397417567102194e-05, 'lamb_h_net': 0.00010160730332195199, 'grid_size_g_net': 15, 'spline_order_g_net': 3, 'range_limit_g_net': 1, 'mu_1_g_net': 0.6, 'mu_2_g_net': 0.6, 'hidden_dim_g_net': 6, 'grid_size_h_net': 13, 'spline_order_h_net': 3, 'range_limit_h_net': 1, 'mu_1_h_net': 1.0, 'mu_2_h_net': 0.5, 'hidden_dim_h_net': 6}. Best is trial 16 with value: 1.0552290405030362e-05.
