,Canada,United Kingdom,Spain,Greece,Guatemala,Mexico,Panama,Costa Rica,El Salvador,Japan,Philippines,Argentina,Brazil,Chile,Ecuador,Peru,Thailand,Malaysia,Australia,China,United States
0,2.5289373,2.4808297,2.4738777,2.4694138,2.469576,2.6734517,2.4770448,2.4695587,2.4684238,2.4904563,2.4936805,2.482655,2.4673538,2.6693394,2.4704723,2.4745085,2.4752276,2.4682207,2.5468156,2.487182,2.7566988
1,2.4044645,2.4515662,2.4592094,2.4636698,2.4632933,2.2623208,2.4557173,2.4635131,2.4639196,2.4407592,2.439404,2.4504051,2.4650152,2.2706215,2.4623907,2.4584582,2.4578226,2.464278,2.3869903,2.4458869,2.1869621
2,0.060492255,0.011336879,0.005026734,0.0005580303,0.00040633717,0.20804827,0.007761586,0.0006858494,-0.0015545698,0.019453818,0.024826458,0.013773594,-0.0024567978,0.20973474,0.0013402463,0.005504555,0.0063369614,-0.001257612,0.07885213,0.018309996,0.29370418
