,symbolic_function
0,0.169902265071869 - 0.0748380944132805*tan(0.241279929876328*x0 + 4.29472017288208)
1,0.0698834285140038 - 0.0693730424045*exp(1.47039997577667*x0)
2,-1.79866051673889*tanh(0.78851991891861*x0 - 1.99551999568939) - 1.73296332359314
3,0.0318123332505556*(-x0 - 0.995293255536548)**3 + 0.0313181206583977
4,0.130256772041321*log(2.61699986457825 - 2.32412004470825*x0) - 0.123314462602139
