,symbolic_function
0,0.105000287294388 - 0.844121754169464*sin(1.59051990509033*x0 + 2.72812008857727)
1,0.845650017261505*cos(1.58731997013092*x0 - 1.98280000686646) + 0.104479730129242
2,1.04208791255951*tanh(1.29355990886688*x0 - 0.3609599173069) + 0.130381077528
3,1.27558290958405 - 1.55578365011519*(1 - 0.517123511035261*x0)**2
4,1.56840538978577 - 1.85097497347109*(1 - 0.294161675103637*x0)**3
