,symbolic_function
0,4.73679637908936*tan(0.103040002286434*x0 - 0.707719922065735) + 3.72503209114075
1,5.08037137985229 - 5.4073432522748*exp(-0.155479922890663*x0)
2,5.04136276245117*log(0.673479914665222*x0 + 4.03219985961914) - 7.35608386993408
3,3.4867525100708 - 3.81312365056233*(1 - 0.0732501298845323*x0)**3
4,2.64105868339539 - 2.96735269404821*(1 - 0.141022796599509*x0)**2
