,symbolic_function
0,0.414653121613309*(-x0 - 0.0200006644355334)**3 - 0.000495056621730328
1,0.00412072939798236 - 0.0786016583442688*tan(1.42931997776031*x0 - 3.12248015403748)
2,0.112740933895111*log(4.90000009536743 - 4.97365999221802*x0) - 0.174428939819336
3,0.0435520224273205 - 0.0383355574208246*exp(2.3127601146698*x0)
4,0.00375854596495628 - 0.160238029314143*x0
