,symbolic_function
0,0.00821056589484215 - 0.104191653430462*tan(3.57276010513306*x0 + 3.22176003456116)
1,0.307371199131012 - 0.261120229959488*log(4.85336017608643*x0 + 3.25180006027222)
2,-0.441631559812368*x0 - 0.000429948198394622
3,-0.277044206857681 + 0.276479853372241*exp(-1.4456000328064*x0)
4,0.254969746055179*(0.804152697762276 - x0)**2 - 0.165442198514938
