,symbolic_function
0,1.56899011135101 - 0.829136967658997*Abs(4.56099987030029*x0 - 2.94095993041992)
1,0.962218523025513*cos(5.0*x0 + 3.09999990463257) + 0.393784701824188
2,0.958617866039276*sin(5.0*x0 - 1.59999990463257) + 0.400042951107025
3,1.28303921222687 - 7.26521733570938*(0.623950186609033 - x0)**2
4,0.703629493713379 - 0.564602196216583*tanh(5.0*x0 - 4.5)
