,symbolic_function
0,-0.752282440662384*tanh(4.97200012207031*x0 - 4.01800012588501) - 0.302095472812653
1,-0.871880710124969*sin(3.29284000396729*x0 - 2.6145601272583) - 0.261918425559998
2,-0.871636211872101*cos(3.2939600944519*x0 + 2.09716010093689) - 0.261738389730453
3,0.815442025661469 - 0.738388001918793*Abs(3.4410400390625*x0 - 1.27631998062134)
4,0.626633107662201 - 2.258864402771*(0.178999975323677 - x0)**2
