,complexity,loss,score,sympy_format
4,6,1.4516487e-06,10.375090272533791,sin(-x0 + x1)*0.50057304
3,5,0.0465271,0.8293133036331988,tanh(sin(-x0 + x1))
2,4,0.106628224,0.01495774807534341,sin(x1)*0.07659535
1,3,0.10823513,0.005265193631187746,0.05614807/x1
0,1,0.10938091,0.0,0.00303448920000000
