,symbolic_function
0,-6.16950988769531*sin(4.09944009780884*x0 + 0.509959876537323) - 0.866440534591675
1,6.16652393341064*cos(4.10171985626221*x0 - 4.20291996002197) - 0.870851159095764
2,6.17808389663696*tanh(4.69995975494385*x0 - 3.05799984931946) - 0.721126198768616
3,6.62572145462036*Abs(3.01775979995728*x0 - 0.806559920310974) - 8.31978988647461
4,14.2342528383778*(-x0 - 0.0458623417400198)**2 - 7.98066806793213
