,symbolic_function
0,1.44348168373108*tanh(3.59999990463257*x0 - 5.0) + 2.00827383995056
1,0.246832191944122*Abs(3.5349600315094*x0 + 0.200039923191071) + 0.0674679279327393
2,1.68545424938202*cos(0.795359969139099*x0 - 3.00087976455688) + 1.98190569877625
3,1.9813220500946 - 1.68464684486389*sin(0.795839965343475*x0 + 1.71111989021301)
4,0.260268287042411*(-x0 - 0.791086752885435)**2 + 0.114709794521332
