,symbolic_function
0,-3.8612961769104*tanh(5.0*x0 - 3.29999995231628) - 3.2547721862793
1,-3.8610954284668*sin(4.24744033813477*x0 - 2.7300398349762) - 3.05785083770752
2,-3.86073970794678*cos(4.24844026565552*x0 + 1.98175990581512) - 3.05760383605957
3,1.58273029327393 - 2.65180587768555*Abs(4.79868030548096*x0 - 1.32999992370605)
4,1.29455423355103 - 9.25835058548892*(-x0 - 0.0233245606292384)**2
