,symbolic_function
0,2.45876799758577 - 1.16463950603087*x0
1,-126.89892578125*cos(0.0102800661697984*x0 - 2.07767987251282) - 59.1789436340332
2,99.0136260986328*sin(0.0127200651913881*x0 + 2.70232009887695) - 39.684455871582
3,230.887268066406 - 228.4605578858*exp(0.00499992584809661*x0)
4,29.3568153381348 - 27.0186841487885*(-0.019999985396862*x0 - 1)**2
