,symbolic_function
0,1.1823958764686*x0 - 1.67443909637069
1,10.2733097076416*cos(0.116999991238117*x0 + 4.23199987411499) + 3.17312216758728
2,10.1790151596069*sin(0.118119992315769*x0 - 0.484639942646027) + 3.1695351600647
3,430.148463604738*exp(0.00271992571651936*x0) - 431.804870605469
4,14.4656076431274*tanh(0.0830800086259842*x0 - 0.341759920120239) + 3.18233728408813
