,symbolic_function,complexity,log_loss,alpha,score
0,0.136594335526764 - 0.739555600073943*x0,2,-12.792273153159806,tensor(1.0000e-05),6.737418036139384
1,-3.10737381198071,0,0.6825629191189609,tensor(10.),0.0
