,symbolic_function
0,0.0128429299220443 - 0.0348850227892399*cos(4.26719999313354*x0 - 3.34320020675659)
1,0.0128389066085219 - 0.0348809137940407*sin(4.26823997497559*x0 - 1.77295994758606)
2,-0.0153093179687858
3,0.178800793491545*(0.810324767468249 - x0)**2 - 0.0208631865680218
4,0.0314770329937535 - 0.0655678054959163*x0
