,symbolic_function
0,9.64578939601779e-5
1,0.000110036553678699 - 1.90826847051209e-5*x0
2,0.000107489351648837 - 1.437560422346e-5*cos(5.0*x0 + 2.79999995231628)
3,0.000107499014120549 - 1.44170790008502e-5*sin(5.0*x0 - 1.89999997615814)
4,5.0830890359066e-6*log(3.15843987464905 - 3.2584400177002*x0) + 9.84045400400646e-5
