,Iceland,Canada,Algeria,Burkina Faso,Ghana,Cote d'Ivoire,Niger,Tunisia,Belgium,Germany,Estonia,Ireland,Luxembourg,Norway,Poland,Sweden,South Africa,Cameroon,Mali,Spain,Morocco,Guinea,Somalia,Egypt,Albania,Bulgaria,Cyprus,Croatia,Greece,Hungary,Italy,Slovenia,Israel,Austria,Portugal,Bosnia and Herzegovina,Romania,Switzerland,Turkey,Moldova,Serbia,Slovakia,Dominican Republic,Guatemala,Honduras,Mexico,Panama,Costa Rica,Cuba,New Zealand,Bahrain,Saudi Arabia,Iran,Kuwait,Lebanon,Pakistan,Iraq,Qatar,South Korea,Argentina,Brazil,Chile,Ecuador,Colombia,Bolivia,Peru,Uruguay,Kazakhstan,Kyrgyzstan,Azerbaijan,Ukraine,Belarus,Tajikistan,Uzbekistan,Bangladesh,Indonesia,China,Latvia,Lithuania,Armenia,Djibouti,Guinea-Bissau
0,2.464381,2.3668704,2.439361,2.454329,2.4616897,2.4536533,2.465384,2.4248161,2.2980025,1.9207515,2.4564793,2.3983717,2.4508903,2.3644612,2.3588715,2.3476808,2.467785,2.4615362,2.4627004,1.970399,2.38857,2.4644668,2.4640005,2.374565,2.4494023,2.4392674,2.4256883,2.398733,2.2498717,2.4360783,2.0400388,2.464163,2.4236672,2.3370712,2.3849466,2.4601245,2.406248,2.3932116,2.698473,2.459237,2.430554,2.4643636,2.4463649,2.4561052,2.4599104,2.4232478,2.454916,2.4560077,2.4394553,2.4653141,2.445182,2.3501005,2.5851483,2.4246404,2.441646,2.4321735,2.4404368,2.4142673,2.3584206,2.4333093,2.4235651,2.468615,2.4666917,2.4447026,2.4567637,2.4497597,2.4576283,2.4473424,2.4603822,2.4472623,2.4055185,2.451174,2.488366,2.4602547,2.4581227,2.4643588,2.3150582,2.4304075,2.4377363,2.4638333,2.4676538,2.4653754
1,2.4687014,2.5587265,2.493209,2.478647,2.4713807,2.479311,2.4677026,2.5069754,2.6150823,2.6408212,2.4765263,2.5305889,2.4820366,2.5592034,2.5643487,2.5755785,2.465325,2.471533,2.4703774,2.7448306,2.5400317,2.4686182,2.4690843,2.5526233,2.4834654,2.493247,2.5061557,2.53104,2.6494226,2.4962828,2.7412825,2.468915,2.508138,2.5795882,2.5405836,2.472929,2.5240955,2.5359707,2.4570174,2.4738035,2.5013673,2.46872,2.486366,2.4769154,2.4731464,2.5084264,2.478003,2.4769971,2.4930613,2.467789,2.487573,2.572262,2.3544505,2.5072172,2.4910305,2.4998987,2.4921682,2.516727,2.5665784,2.4988682,2.5099192,2.4646542,2.4664652,2.4879136,2.476262,2.4833229,2.4754114,2.4854126,2.4726744,2.4855745,2.524774,2.4817853,2.44476,2.4727917,2.4749417,2.4687216,2.6008532,2.5017328,2.494755,2.46925,2.465456,2.46771
2,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
3,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
4,-0.0039673476,0.013767261,-0.0028461337,-0.0036513882,-0.0039242283,-0.003616237,-0.0039804066,-0.0016713623,0.038535308,0.7893389,-0.0037679148,0.0042311186,-0.0031623933,0.015013427,0.016330546,0.01632208,-0.004014845,-0.0039226036,-0.003947313,0.40343046,0.0047173477,-0.0039713653,-0.003969592,0.009722183,-0.003557878,-0.0028100451,-0.0010606492,0.0016735387,0.052731916,-0.0024822552,0.29215804,-0.0039640064,-0.0008795471,0.028440004,0.012258279,-0.003889003,0.0016437118,0.021048406,0.023910206,-0.003827963,-0.0015249235,-0.00397001,-0.0031444344,-0.0037765675,-0.0038830608,-0.00045907553,-0.0033734324,-0.0037371102,-0.002586758,-0.0039730086,-0.003076468,0.02248217,-0.013542286,-0.00081364764,-0.0029055187,-0.0013628232,-0.0027916734,0.0010017732,0.015981987,-0.0015842993,0.001171159,-0.004124595,-0.0040217503,-0.0027435366,-0.0037978876,-0.0030270733,-0.003792596,-0.0031424386,-0.0038935577,-0.0033480301,0.0023077352,-0.003606945,-0.004370872,-0.0038575397,-0.0038575078,-0.003959747,0.037805688,-0.0019658129,-0.0026452565,-0.0039612027,-0.0039889114,-0.003976413
