,symbolic_function
0,-4.05040454864502*cos(0.175679922103882*x0 - 2.20040011405945) - 2.12555813789368
1,4.00079345703125*sin(0.177999928593636*x0 + 2.49961996078491) - 2.14079833030701
2,-6.20250797271729*tanh(0.113999992609024*x0 - 0.399299919605255) - 2.07104992866516
3,33.0937497449506*(1 - 0.0108060150449478*x0)**2 - 32.7216796875
4,-63.9572715759277 + 64.3291399797645*exp(-0.0111200660467148*x0)
