,symbolic_function
0,0.00315550435334444 - 0.00365910590827752*exp(-0.145079970359802*x0)
1,0.00214684521779418*tan(0.06724002212286*x0 - 4.19991970062256) + 0.00326968729496002
2,0.00218839943408966*log(1.12295997142792*x0 + 3.95440006256104) - 0.00356424041092396
3,0.0024802356492728 - 0.00296278186389514*(1 - 0.0565193607051555*x0)**3
4,0.00216984120197594 - 0.00263284518249098*(1 - 0.0910112342976264*x0)**2
