,symbolic_function
0,0.431248366832733*cos(1.39147996902466*x0 - 4.11499977111816) + 0.00747200008481741
1,0.00746121630072594 - 0.431252896785736*sin(1.39135992527008*x0 + 0.597239911556244)
2,0.227084115147591*tanh(2.39999985694885*x0 - 5.0) + 0.193396478891373
3,0.00631044153124094*tan(0.0155999921262264*x0 + 4.64200019836426) - 0.0887006372213364
4,0.01266557443887*Abs(4.83344030380249*x0 - 2.91939997673035) - 0.084170863032341
