,symbolic_function
0,-3.33786374540068e-6*tan(5.0*x0 - 4.69999980926514) - 0.000269404117716476
1,2.34975104262958e-7
2,-0.108957728371024*x0 - 6.03010419375494e-10
3,-0.0217783097177744 + 0.0217783090930226*exp(-5.0*x0)
4,-0.00217892206273973*log(5.0*x0 + 0.0999999269843102) - 0.005017155315727
