,symbolic_function
0,0.00362534634768963*sin(0.125999987125397*x0 + 2.70029997825623) - 0.00144820241257548
1,-0.00368248391896486*cos(0.123999983072281*x0 - 1.99992001056671) - 0.00142972252797335
2,-0.00433237850666046*tanh(0.106119997799397*x0 - 0.387999922037125) - 0.00151610583998263
3,0.033811525176831*(1 - 0.00680169582692623*x0)**2 - 0.0336739234626293
4,-0.0614878684282303 + 0.0616268426476831*exp(-0.00748006859794259*x0)
