,symbolic_function
0,2.01313233375549 - 7.09925734554417e-6*tan(0.100079923868179*x0 + 4.70599985122681)
1,2.01626253128052 - 0.00423106809019846*exp(4.99979019165039*x0)
2,0.000340844911988825*log(0.102239929139614 - 4.47387981414795*x0) + 2.01278948783875
3,2.02289462089539 - 0.0108616004581563*(-0.999991989135742*x0 - 1)**2
4,0.00719472518539988*(-x0 - 0.999915981292725)**3 + 2.01922559738159
