,symbolic_function
0,0.00176902611891408*x0 - 0.000155801884377693
1,0.0790827795863152 - 0.0795028846711308*exp(-0.0244800560176373*x0)
2,0.0438417755067348 - 0.0442501442429635*(1 - 0.0218670145878915*x0)**2
3,0.0630228072404861*log(0.0986399278044701*x0 + 3.13323998451233) - 0.0724442154169083
4,0.00111421151086688 - 0.0241208784282207*sin(0.0760000199079514*x0 - 3.20008015632629)
