,symbolic_function,complexity,log_loss,alpha,score
0,0.103942850560218 - 0.364857333126212*x0,2,-13.420634058814358,tensor(1.0000e-05),4.23884781066856
1,-0.0669489876299607,0,-4.942938437477237,tensor(0.0100),0.0
