,symbolic_function
0,0.00704280938953161*tanh(0.477999925613403*x0 - 2.60001993179321) + 0.0095941498875618
1,0.00794240366667509*cos(0.372079908847809*x0 - 3.72011995315552) + 0.0105628147721291
2,0.0105448206886649 - 0.00792516116052866*sin(0.372759908437729*x0 + 0.990759968757629)
3,0.000288175911788415*(0.545173256198888 - x0)**2 + 0.00238663284108043
4,0.00131195969879627 - 0.000412654209275496*(-0.308901746362795*x0 - 1)**3
