,symbolic_function
0,0.0126324580929062*exp(0.030399926006794*x0) - 0.0126023227348924
1,0.00441501522436738*tan(0.0941200032830238*x0 - 3.37080001831055) + 0.00101184297818691
2,0.00557576004328744*(-0.0342402012373652*x0 - 1)**2 - 0.00554401753470302
3,-0.00620059427963477*(-0.0200005461726737*x0 - 1)**3 - 0.00615259818732738
4,0.00562472874298692*sin(0.0824800059199333*x0 - 0.66947990655899) + 0.00353710539638996
