,symbolic_function,complexity,log_loss,alpha,score
0,0.393185182547284*tanh(0.867764356138973*x0 - 1.41939897565132) + 0.407644093632008,5,-14.425210100427076,1e-08,1.566689789969153
1,0.0266552622198265,0,-6.591761150581311,0.001,0.0
