2025-07-07 22:38:29,663 - INFO - A new study created in Journal with name: model-biochemical-gkan-biochemical_gkan_ic1_s5_pd_mult_noise_20db_2
2025-07-08 02:03:17,238 - INFO - Trial 18 finished with value: 93.04550170898438 and parameters: {'lr': 0.0011198497491324145, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 0.0033774110269617222, 'lamb_h_net': 0.00010334211914854737, 'grid_size_g_net': 15, 'spline_order_g_net': 1, 'range_limit_g_net': 7, 'mu_1_g_net': 0.7000000000000001, 'mu_2_g_net': 0.30000000000000004, 'hidden_dim_g_net': 1, 'grid_size_h_net': 17, 'spline_order_h_net': 1, 'range_limit_h_net': 7, 'mu_1_h_net': 0.7000000000000001, 'mu_2_h_net': 0.8, 'hidden_dim_h_net': 5}. Best is trial 3 with value: 93.04092407226562.
2025-07-08 02:05:59,094 - INFO - Trial 19 finished with value: 93.04568481445312 and parameters: {'lr': 0.0032615167881767677, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.00021139912552319823, 'lamb_h_net': 0.0048353226776003694, 'grid_size_g_net': 8, 'spline_order_g_net': 3, 'range_limit_g_net': 3, 'mu_1_g_net': 0.8, 'mu_2_g_net': 0.4, 'hidden_dim_g_net': 2, 'grid_size_h_net': 7, 'spline_order_h_net': 3, 'range_limit_h_net': 2, 'mu_1_h_net': 0.9, 'mu_2_h_net': 0.6, 'hidden_dim_h_net': 2}. Best is trial 3 with value: 93.04092407226562.
2025-07-08 02:13:01,610 - INFO - Trial 20 finished with value: 93.04531860351562 and parameters: {'lr': 0.007950504103854806, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 4.833036427308838e-06, 'lamb_h_net': 5.087740147373314e-06, 'grid_size_g_net': 20, 'spline_order_g_net': 2, 'range_limit_g_net': 6, 'mu_1_g_net': 0.30000000000000004, 'mu_2_g_net': 0.7000000000000001, 'hidden_dim_g_net': 3, 'grid_size_h_net': 11, 'spline_order_h_net': 2, 'range_limit_h_net': 4, 'mu_1_h_net': 0.9, 'mu_2_h_net': 0.9, 'hidden_dim_h_net': 1}. Best is trial 3 with value: 93.04092407226562.
2025-07-08 02:21:20,852 - INFO - Trial 21 finished with value: 93.04389190673828 and parameters: {'lr': 0.0028203754044715938, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 7.370992924829355e-06, 'lamb_h_net': 1.6568317015462216e-05, 'grid_size_g_net': 7, 'spline_order_g_net': 3, 'range_limit_g_net': 8, 'mu_1_g_net': 0.8, 'mu_2_g_net': 0.1, 'hidden_dim_g_net': 6, 'grid_size_h_net': 18, 'spline_order_h_net': 1, 'range_limit_h_net': 2, 'mu_1_h_net': 0.4, 'mu_2_h_net': 0.2, 'hidden_dim_h_net': 4}. Best is trial 3 with value: 93.04092407226562.
2025-07-08 02:28:40,472 - INFO - Trial 22 finished with value: 93.04634094238281 and parameters: {'lr': 0.0024798283681436947, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 3.657302952774462e-05, 'lamb_h_net': 3.823360495919555e-05, 'grid_size_g_net': 7, 'spline_order_g_net': 3, 'range_limit_g_net': 8, 'mu_1_g_net': 0.9, 'mu_2_g_net': 0.2, 'hidden_dim_g_net': 6, 'grid_size_h_net': 20, 'spline_order_h_net': 1, 'range_limit_h_net': 1, 'mu_1_h_net': 0.1, 'mu_2_h_net': 0.1, 'hidden_dim_h_net': 4}. Best is trial 3 with value: 93.04092407226562.
2025-07-08 02:37:18,420 - INFO - Trial 23 finished with value: 93.04119873046875 and parameters: {'lr': 0.0055040080397363265, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 4.680109018002219e-06, 'lamb_h_net': 0.00025344944430177516, 'grid_size_g_net': 12, 'spline_order_g_net': 3, 'range_limit_g_net': 9, 'mu_1_g_net': 0.6, 'mu_2_g_net': 0.2, 'hidden_dim_g_net': 5, 'grid_size_h_net': 16, 'spline_order_h_net': 1, 'range_limit_h_net': 2, 'mu_1_h_net': 0.5, 'mu_2_h_net': 0.2, 'hidden_dim_h_net': 6}. Best is trial 3 with value: 93.04092407226562.
2025-07-08 02:48:12,330 - INFO - Trial 24 finished with value: 93.04524993896484 and parameters: {'lr': 0.0050533880983233935, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 3.038858255462415e-06, 'lamb_h_net': 0.0003234705159158832, 'grid_size_g_net': 12, 'spline_order_g_net': 3, 'range_limit_g_net': 9, 'mu_1_g_net': 0.5, 'mu_2_g_net': 0.2, 'hidden_dim_g_net': 5, 'grid_size_h_net': 15, 'spline_order_h_net': 1, 'range_limit_h_net': 4, 'mu_1_h_net': 0.5, 'mu_2_h_net': 0.6, 'hidden_dim_h_net': 6}. Best is trial 3 with value: 93.04092407226562.
2025-07-08 02:55:21,501 - INFO - Trial 25 finished with value: 93.04026794433594 and parameters: {'lr': 0.01576672286945863, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 1.6027372781516526e-05, 'lamb_h_net': 0.002067140218908503, 'grid_size_g_net': 14, 'spline_order_g_net': 3, 'range_limit_g_net': 10, 'mu_1_g_net': 0.6, 'mu_2_g_net': 0.5, 'hidden_dim_g_net': 4, 'grid_size_h_net': 14, 'spline_order_h_net': 2, 'range_limit_h_net': 1, 'mu_1_h_net': 0.7000000000000001, 'mu_2_h_net': 0.30000000000000004, 'hidden_dim_h_net': 6}. Best is trial 25 with value: 93.04026794433594.
2025-07-08 03:07:16,042 - INFO - Trial 26 finished with value: 93.04620361328125 and parameters: {'lr': 0.017643537672509473, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 1.226209686196251e-06, 'lamb_h_net': 0.0018921859800833316, 'grid_size_g_net': 14, 'spline_order_g_net': 2, 'range_limit_g_net': 10, 'mu_1_g_net': 0.30000000000000004, 'mu_2_g_net': 0.30000000000000004, 'hidden_dim_g_net': 4, 'grid_size_h_net': 16, 'spline_order_h_net': 2, 'range_limit_h_net': 3, 'mu_1_h_net': 0.7000000000000001, 'mu_2_h_net': 0.2, 'hidden_dim_h_net': 6}. Best is trial 25 with value: 93.04026794433594.
2025-07-08 03:15:01,126 - INFO - Trial 27 finished with value: 93.04545593261719 and parameters: {'lr': 0.042833557703388335, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 8.567250882297838e-06, 'lamb_h_net': 0.02115965438099063, 'grid_size_g_net': 17, 'spline_order_g_net': 2, 'range_limit_g_net': 9, 'mu_1_g_net': 0.5, 'mu_2_g_net': 0.4, 'hidden_dim_g_net': 5, 'grid_size_h_net': 14, 'spline_order_h_net': 3, 'range_limit_h_net': 2, 'mu_1_h_net': 0.6, 'mu_2_h_net': 0.30000000000000004, 'hidden_dim_h_net': 6}. Best is trial 25 with value: 93.04026794433594.
