,symbolic_function
0,0.0214827917516232 - 0.404290169477463*tan(0.93259996175766*x0 + 3.19075989723206)
1,2.78027319908142 - 2.7785591169932*exp(0.138559922575951*x0)
2,2.6736102104187*log(4.83179998397827 - 0.695399940013885*x0) - 4.20979976654053
3,1.38429522514343 - 1.38257980629384*(-0.139257210873941*x0 - 1)**2
4,-2.49687194824219*cos(0.190679922699928*x0 + 4.08432006835938) - 1.46540522575378
