,symbolic_function
0,4.39599753008224e-5
1,3.3837790169855e-6*x0 + 4.39596504615852e-5
2,3.06077330147758e-10*log(0.199999928474426*x0 + 3.72529029846191e-9) + 4.39633113273885e-5
3,6.76431435442466e-7*exp(4.99997997283936*x0) + 4.32832166552544e-5
4,1.69192728260203e-6*(-x0 - 0.99980201681541)**2 + 4.22683915530797e-5
