,symbolic_function
0,-8.95170342118945e-6
1,-4.34575554209005e-6*x0 - 8.95127133493324e-6
2,-8.68617579650568e-7*exp(5.0*x0) - 8.08265394880436e-6
3,8.63737810163911e-8*log(0.0999999269843102 - 5.0*x0) - 8.75238674780121e-6
4,-2.17265192503646e-6*(x0 + 0.999997997283936)**2 - 6.7786281761073e-6
