,complexity,loss,score,sympy_format
3,5,4.050661e-06,6.644462735230767,x0*x1*(-0.4983613)
1,3,0.0032789533,0.15239944266269015,x1*(-0.20514715)
5,7,3.5328294e-06,0.10980889185429567,tanh(tan(x0*x1))*(-0.5000853)
2,4,0.003113002,0.0519367216877564,tanh(x1)*(-0.236886)
4,6,3.9428664e-06,0.026972106186586235,sin(x0*(-0.50185806)*x1)
