,symbolic_function,complexity,log_loss,alpha,score
0,-0.307761072720138*x0**3 - 0.151493375936487*x0**2 + 2.3724286893447*x0 + 2.34550855831448,8,-10.542603637978583,1e-08,0.3721028454791995
1,2.55090071449609*cos(0.952634359599953*x0 - 1.39946390830519) + 1.92616338343438,5,-9.426295101540985,1e-05,1.511002640906403
2,1.88720494686215*x0 + 2.01755140779161,2,-4.893287178821776,0.001,1.511224734408058
3,0.211739882755766,0,-1.87083771000566,0.1,0.0
