,Canada,Hong Kong,Singapore,China
0,3.6831274,3.7726758,3.6976879,3.3759704
1,1e-06,1e-06,1e-06,1e-06
2,2.0019474,1.9877663,1.9946287,1.6154516
3,1e-06,1e-06,1e-06,1e-06
4,1.2725778,1.2667967,1.266407,1.2633966
