,Canada,Hong Kong,Singapore,China
0,3.6357148,3.7726758,3.7652965,3.3759704
1,1e-06,1e-06,1e-06,1e-06
2,2.0030017,1.9877663,1.9947432,1.6154516
3,1e-06,1e-06,1e-06,1e-06
4,1.2683235,1.2667967,1.2737973,1.2633966
