,Iceland,Canada,Algeria,Burkina Faso,Ghana,Cote d'Ivoire,Niger,Tunisia,Belgium,Germany,Estonia,Ireland,Luxembourg,Norway,Poland,Sweden,South Africa,Cameroon,Mali,Spain,Morocco,Guinea,Somalia,Egypt,Albania,Bulgaria,Cyprus,Croatia,Greece,Hungary,Italy,Slovenia,Israel,Austria,Portugal,Bosnia and Herzegovina,Romania,Switzerland,Turkey,Moldova,Serbia,Slovakia,Dominican Republic,Guatemala,Honduras,Mexico,Panama,Costa Rica,Cuba,New Zealand,Bahrain,Saudi Arabia,Iran,Kuwait,Lebanon,Pakistan,Iraq,Qatar,South Korea,Argentina,Brazil,Chile,Ecuador,Colombia,Bolivia,Peru,Uruguay,Kazakhstan,Kyrgyzstan,Azerbaijan,Ukraine,Belarus,Tajikistan,Uzbekistan,Bangladesh,Indonesia,China,Latvia,Lithuania,Armenia,Djibouti,Guinea-Bissau
0,3.5446572,3.450835,3.7501361,3.75038,3.7490504,3.7481132,3.5735996,3.4979315,3.7611744,3.75329,3.4854815,3.5530918,3.5506847,3.5930438,3.6056004,3.7561216,3.7475784,3.759436,3.6333385,3.7693043,3.515109,3.7471383,3.7470646,3.7519872,3.7482686,3.6423924,3.7515166,3.7494664,3.52743,3.7497985,3.7604895,3.5679243,3.7188282,3.6479402,3.6905663,3.6358242,3.7593462,3.6898386,3.850045,3.7471085,3.7521794,3.47498,3.7487867,3.7456353,3.574331,3.5590322,3.645007,3.553575,3.4269843,3.5889542,3.642109,3.7492478,3.8283424,3.4625301,3.7479832,3.560117,3.654524,3.748829,3.7595856,3.6047132,3.7293954,3.6267202,3.7481542,3.5530508,3.7448184,3.720914,3.5810544,3.4900723,3.7475123,3.7502787,3.7503335,3.7542217,3.6742473,3.5797555,3.6821477,3.748402,3.6878667,3.5459766,3.477367,3.5808392,3.552868,3.4860444
1,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
2,2.0018532,1.998544,2.0001075,2.000002,2.0008488,2.0002177,2.0007353,1.9992876,1.9939995,1.9704531,2.001073,2.0045455,2.0030682,2.0024695,2.0032246,1.9955821,2.0021305,2.0006268,2.0004256,1.9799012,1.9988607,2.0005772,2.0002477,1.9966986,1.999732,1.9995607,1.9989736,1.9983593,1.9936874,2.0000129,1.988872,2.0012841,2.0041318,2.0077596,2.0126698,2.0008664,2.0012336,2.0189526,2.1091313,2.0018167,2.002774,2.0009239,2.0013642,1.9998616,2.000217,2.001492,2.0041444,2.0003045,2.0003178,2.0013397,1.9998522,1.9984183,2.0542336,1.9989002,1.999427,2.002302,1.9998523,1.999909,1.9987943,2.0009913,2.0108714,2.0082443,2.0046022,2.002762,2.000064,2.0094073,2.0002117,2.001628,2.0003169,2.0000064,1.999779,2.0001237,2.0049648,2.0018306,2.001037,2.0032318,1.9949266,1.9992951,2.00005,2.000946,2.0013323,2.0002651
3,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
4,1.2635212,1.2536925,1.2784808,1.2784096,1.2792151,1.2784882,1.2642258,1.2567279,1.2728089,1.2484607,1.2609575,1.2642833,1.263476,1.264761,1.2672179,1.2741598,1.2804668,1.2797823,1.2682515,1.2585801,1.2559754,1.2787801,1.2784293,1.2750828,1.278001,1.2679777,1.2774284,1.2766508,1.2620188,1.2783923,1.2663672,1.2641156,1.2793518,1.2699983,1.2807076,1.2687348,1.2804017,1.281831,1.3970287,1.2800761,1.2814918,1.2598395,1.2797062,1.2779778,1.2645391,1.2637302,1.2720407,1.2639107,1.2582574,1.2659578,1.2682538,1.2767723,1.3434377,1.2529831,1.2776581,1.2645142,1.2692131,1.2781885,1.2777776,1.2662879,1.2872144,1.2701261,1.2830817,1.2645257,1.2781408,1.2847185,1.2642177,1.260419,1.278557,1.2783895,1.2781595,1.2788014,1.2728937,1.2655535,1.2726573,1.281663,1.2680616,1.261131,1.257904,1.2653517,1.2637573,1.260591
