,symbolic_function,complexity,log_loss,alpha
0,-0.00800000000000000,0,-6.434079845678678,tensor(0.0010)
1,-0.00800000000000000,0,-6.434079845678678,tensor(0.0100)
2,-0.00800000000000000,0,-6.434079845678678,tensor(0.1000)
3,0.001 - 0.388*x0,2,-14.196897994141237,tensor(1.0000e-05)
4,0.001 - 0.388*x0,2,-14.196897994141237,tensor(1.0000e-04)
