,symbolic_function,complexity,log_loss,alpha,score
0,0.169984552327585*exp(2.04250882528722*x0) - 0.148685740409803,4,-13.326699264340379,tensor(1.0000e-05),2.007276943662248
1,0.29608590513449*x0 + 0.025773945199903,2,-9.312145377015883,tensor(0.0003),1.462907089667541
2,-0.0190508845065686,0,-6.386331197680801,tensor(0.0100),0.0
