,Canada,United Kingdom,Spain,Greece,Guatemala,Mexico,Panama,Costa Rica,El Salvador,Japan,Philippines,Argentina,Brazil,Chile,Ecuador,Peru,Thailand,Malaysia,Australia,China,United States
0,2.91556,2.9512358,3.3799531,3.3804772,3.054563,3.445094,3.0669713,3.3323803,3.0046334,3.1771135,3.3330836,3.3037143,2.9559932,3.4479902,3.2638042,3.2755857,3.3746777,3.3795338,3.389414,3.3669088,3.643002
1,1.0340208,1.0051515,1.0046101,1.0021926,0.9992603,1.0591878,1.005536,0.9933556,0.9990746,1.0116941,1.0110066,1.004141,0.99857837,1.0854927,0.99980223,0.9989672,1.0076108,1.0006857,1.026431,0.995252,1.2687837
2,0.6019255,0.60020036,0.9929964,0.9951148,0.9724497,1.0480744,0.69311166,0.99049056,0.93266964,0.7934956,1.0484966,1.1112921,0.716551,1.0874044,1.0054748,1.0053583,0.99,0.9966217,1.0295894,1.0006716,0.7985052
