,symbolic_function
0,-0.000841056399969329*(0.469442720079395 - x0)**2 - 0.000216822460060939
1,-0.000194267500774004*tanh(5.0*x0 - 4.69999980926514) - 0.000424635829403996
2,0.000266090966761112*sin(2.67055988311768*x0 + 0.309879899024963) - 0.000480851449538022
3,0.000246145616983995*cos(2.7960000038147*x0 + 4.96000003814697) - 0.00046071846736595
4,0.000976813331602428*(0.377457657330689 - x0)**3 - 0.000233542625210248
