Using an existing study with name 'model-biochemical-mpnn-biochemical_mpnn_ic5_s5' instead of creating a new one.
Trial 5 finished with value: 0.00027684186352416873 and parameters: {'lr': 0.002951886379290457, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 16, 'af_g_net': 'tanh', 'drop_p_g_net': 0.013835822153458912, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.0005234164968686225}. Best is trial 5 with value: 0.00027684186352416873.
Trial 7 finished with value: 0.0004362875479273498 and parameters: {'lr': 0.043097471680221364, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 48, 'af_g_net': 'softplus', 'drop_p_g_net': 0.00011146098451291217, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.018315365896785302}. Best is trial 5 with value: 0.00027684186352416873.
Trial 10 finished with value: 0.0001947506971191615 and parameters: {'lr': 0.000859256501161118, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 24, 'af_g_net': 'relu', 'drop_p_g_net': 0.0890649267821404, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 56, 'af_h_net': 'relu', 'drop_p_h_net': 0.0042728244388227825}. Best is trial 11 with value: 8.518015238223597e-05.
Trial 14 finished with value: 0.0007280336576513946 and parameters: {'lr': 0.028962315333218382, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 8, 'af_g_net': 'relu', 'drop_p_g_net': 0.00015299782136346548, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'tanh', 'drop_p_h_net': 0.006432747059190784}. Best is trial 11 with value: 8.518015238223597e-05.
Trial 15 finished with value: 0.00022348090715240687 and parameters: {'lr': 0.010056265875078152, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.4740103764351928, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'tanh', 'drop_p_h_net': 0.4563866649945579}. Best is trial 19 with value: 7.506926340283826e-05.
Trial 21 finished with value: 7.03851183061488e-05 and parameters: {'lr': 0.006958854578070442, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.005090040809407437, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'relu', 'drop_p_h_net': 0.0022663317154803316}. Best is trial 21 with value: 7.03851183061488e-05.
Trial 24 finished with value: 4.96588290843647e-05 and parameters: {'lr': 0.005803906018456799, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.007134194837792822, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 8, 'af_h_net': 'relu', 'drop_p_h_net': 0.00023825667266240828}. Best is trial 24 with value: 4.96588290843647e-05.
Trial 27 finished with value: 6.349592877086252e-05 and parameters: {'lr': 0.00507276839094914, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.014494200696713429, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.00040554288489161766}. Best is trial 24 with value: 4.96588290843647e-05.
Trial 29 finished with value: 0.00011678881855914369 and parameters: {'lr': 0.01565652279471333, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.024538252601822116, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'relu', 'drop_p_h_net': 0.00031507754930107444}. Best is trial 24 with value: 4.96588290843647e-05.
Trial 31 finished with value: 6.315537029877305e-05 and parameters: {'lr': 0.002745455051369187, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.04411844564770053, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.0011473348152299468}. Best is trial 24 with value: 4.96588290843647e-05.
