2025-07-14 09:03:27,339 - INFO - A new study created in Journal with name: model-real-epid-gkan-real_epid_gkan_7
2025-07-14 09:11:39,034 - INFO - Trial 11 finished with value: 0.24403923749923706 and parameters: {'lr': 0.016048156672288056, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 0.001252357277945565, 'lamb_h_net': 0.937629499582501, 'grid_size_g_net': 20, 'spline_order_g_net': 3, 'range_limit_g_net': 1, 'mu_1_g_net': 0.7000000000000001, 'mu_2_g_net': 0.4, 'n_hidden_layers_g_net': 1, 'hidden_dim_g_net': 2, 'grid_size_h_net': 10, 'spline_order_h_net': 3, 'range_limit_h_net': 2, 'mu_1_h_net': 0.5, 'mu_2_h_net': 0.8, 'n_hidden_layers_h_net': 1, 'hidden_dim_h_net': 6}. Best is trial 7 with value: 0.16654053330421448.
2025-07-14 09:12:01,848 - INFO - Trial 12 finished with value: 0.18316912651062012 and parameters: {'lr': 0.046816873258765275, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 1.7662315202979234e-06, 'lamb_h_net': 0.00031346481585360907, 'grid_size_g_net': 15, 'spline_order_g_net': 1, 'range_limit_g_net': 2, 'mu_1_g_net': 0.4, 'mu_2_g_net': 0.5, 'n_hidden_layers_g_net': 1, 'hidden_dim_g_net': 2, 'grid_size_h_net': 12, 'spline_order_h_net': 3, 'range_limit_h_net': 2, 'mu_1_h_net': 0.2, 'mu_2_h_net': 0.7000000000000001, 'n_hidden_layers_h_net': 1, 'hidden_dim_h_net': 5}. Best is trial 7 with value: 0.16654053330421448.
2025-07-14 09:12:28,076 - INFO - Trial 13 finished with value: 0.1719522327184677 and parameters: {'lr': 0.012907662731640412, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 0.0008096450032201103, 'lamb_h_net': 1.0581045454099448e-06, 'grid_size_g_net': 18, 'spline_order_g_net': 2, 'range_limit_g_net': 1, 'mu_1_g_net': 0.8, 'mu_2_g_net': 0.6, 'n_hidden_layers_g_net': 1, 'hidden_dim_g_net': 2, 'grid_size_h_net': 12, 'spline_order_h_net': 3, 'range_limit_h_net': 3, 'mu_1_h_net': 0.6, 'mu_2_h_net': 0.8, 'n_hidden_layers_h_net': 1, 'hidden_dim_h_net': 5}. Best is trial 7 with value: 0.16654053330421448.
2025-07-14 09:12:51,989 - INFO - Trial 14 finished with value: 0.18267330527305603 and parameters: {'lr': 0.00802500093949671, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.000783558218746979, 'lamb_h_net': 1.0054067680329379e-06, 'grid_size_g_net': 13, 'spline_order_g_net': 2, 'range_limit_g_net': 2, 'mu_1_g_net': 0.9, 'mu_2_g_net': 0.8, 'n_hidden_layers_g_net': 1, 'hidden_dim_g_net': 2, 'grid_size_h_net': 14, 'spline_order_h_net': 2, 'range_limit_h_net': 4, 'mu_1_h_net': 0.4, 'mu_2_h_net': 1.0, 'n_hidden_layers_h_net': 1, 'hidden_dim_h_net': 4}. Best is trial 7 with value: 0.16654053330421448.
2025-07-14 09:13:22,005 - INFO - Trial 15 finished with value: 0.20108334720134735 and parameters: {'lr': 0.012391406482187542, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 0.0062886449584825315, 'lamb_h_net': 6.855325063769407e-06, 'grid_size_g_net': 18, 'spline_order_g_net': 2, 'range_limit_g_net': 1, 'mu_1_g_net': 0.8, 'mu_2_g_net': 0.9, 'n_hidden_layers_g_net': 1, 'hidden_dim_g_net': 3, 'grid_size_h_net': 16, 'spline_order_h_net': 3, 'range_limit_h_net': 3, 'mu_1_h_net': 0.7000000000000001, 'mu_2_h_net': 0.7000000000000001, 'n_hidden_layers_h_net': 1, 'hidden_dim_h_net': 5}. Best is trial 7 with value: 0.16654053330421448.
2025-07-14 09:13:51,957 - INFO - Trial 16 finished with value: 0.18509986996650696 and parameters: {'lr': 0.02846935334012112, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 0.00022947409213735628, 'lamb_h_net': 7.314521208588324e-06, 'grid_size_g_net': 12, 'spline_order_g_net': 2, 'range_limit_g_net': 4, 'mu_1_g_net': 1.0, 'mu_2_g_net': 0.7000000000000001, 'n_hidden_layers_g_net': 1, 'hidden_dim_g_net': 2, 'grid_size_h_net': 11, 'spline_order_h_net': 3, 'range_limit_h_net': 4, 'mu_1_h_net': 1.0, 'mu_2_h_net': 0.8, 'n_hidden_layers_h_net': 1, 'hidden_dim_h_net': 4}. Best is trial 7 with value: 0.16654053330421448.
2025-07-14 09:14:32,047 - INFO - Trial 17 finished with value: 0.20388370752334595 and parameters: {'lr': 0.006269662937312481, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 0.006683906302324799, 'lamb_h_net': 2.601193173645002e-05, 'grid_size_g_net': 16, 'spline_order_g_net': 1, 'range_limit_g_net': 2, 'mu_1_g_net': 0.30000000000000004, 'mu_2_g_net': 0.6, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 3, 'grid_size_h_net': 8, 'spline_order_h_net': 2, 'range_limit_h_net': 1, 'mu_1_h_net': 0.5, 'mu_2_h_net': 0.5, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 5}. Best is trial 7 with value: 0.16654053330421448.
2025-07-14 09:15:04,971 - INFO - Trial 18 finished with value: 0.20758606493473053 and parameters: {'lr': 0.012315261197628767, 'lamb': 1.0, 'batch_size': 32, 'use_orig_reg': True, 'lamb_g_net': 0.09488671465868453, 'lamb_h_net': 2.4380229782737012e-06, 'grid_size_g_net': 20, 'spline_order_g_net': 1, 'range_limit_g_net': 4, 'mu_1_g_net': 0.7000000000000001, 'mu_2_g_net': 0.9, 'n_hidden_layers_g_net': 1, 'hidden_dim_g_net': 1, 'grid_size_h_net': 13, 'spline_order_h_net': 1, 'range_limit_h_net': 2, 'mu_1_h_net': 0.7000000000000001, 'mu_2_h_net': 0.9, 'n_hidden_layers_h_net': 1, 'hidden_dim_h_net': 3}. Best is trial 7 with value: 0.16654053330421448.
2025-07-14 09:15:31,232 - INFO - Trial 19 finished with value: 0.17106348276138306 and parameters: {'lr': 0.03177255656955891, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.0038106605061791524, 'lamb_h_net': 4.935666069771544e-05, 'grid_size_g_net': 17, 'spline_order_g_net': 2, 'range_limit_g_net': 1, 'mu_1_g_net': 0.5, 'mu_2_g_net': 0.4, 'n_hidden_layers_g_net': 1, 'hidden_dim_g_net': 2, 'grid_size_h_net': 5, 'spline_order_h_net': 3, 'range_limit_h_net': 3, 'mu_1_h_net': 0.30000000000000004, 'mu_2_h_net': 0.6, 'n_hidden_layers_h_net': 1, 'hidden_dim_h_net': 5}. Best is trial 7 with value: 0.16654053330421448.
2025-07-14 09:15:54,644 - INFO - Trial 20 finished with value: 0.17103523015975952 and parameters: {'lr': 0.031022315751014426, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.03889748481031478, 'lamb_h_net': 0.00010250921688508242, 'grid_size_g_net': 14, 'spline_order_g_net': 2, 'range_limit_g_net': 5, 'mu_1_g_net': 0.4, 'mu_2_g_net': 0.30000000000000004, 'n_hidden_layers_g_net': 2, 'hidden_dim_g_net': 4, 'grid_size_h_net': 5, 'spline_order_h_net': 3, 'range_limit_h_net': 4, 'mu_1_h_net': 0.2, 'mu_2_h_net': 0.4, 'n_hidden_layers_h_net': 2, 'hidden_dim_h_net': 6}. Best is trial 7 with value: 0.16654053330421448.
