x,y
-0.016269246,-0.0060781376
-0.015491778,-0.006247434
-0.014718739,-0.0064158454
-0.013950134,-0.0065833703
-0.013185969,-0.0067500034
-0.012426246,-0.006915748
-0.01167097,-0.0070805987
-0.010920129,-0.0072445567
-0.010401054,-0.0073579513
-0.010173733,-0.0074076224
-0.009471435,-0.007561122
-0.009431771,-0.0075697927
-0.008694236,-0.0077310707
-0.00855221,-0.007762135
-0.007961123,-0.007891454
-0.007643209,-0.007961026
-0.0072597293,-0.008044968
-0.007232421,-0.0080509465
-0.0067442367,-0.008157836
-0.0065081217,-0.008209548
-0.0062079704,-0.008275293
-0.0058551114,-0.0083526
-0.005788209,-0.008367259
-0.005169167,-0.00850293
-0.0050726915,-0.008524079
-0.0049756654,-0.008545349
-0.0043615536,-0.00868001
-0.004143019,-0.008727941
-0.00410572,-0.008736123
-0.0036547803,-0.008835052
-0.0032451046,-0.008924954
-0.0031292406,-0.008950384
-0.002952342,-0.008989214
-0.002557449,-0.00907591
-0.0023936518,-0.009111877
-0.0022542123,-0.0091424985
-0.0021275496,-0.009170316
-0.0019361475,-0.009212357
-0.0015603835,-0.009294906
-0.0015512006,-0.009296923
-0.0013171542,-0.0093483515
-0.0011376748,-0.009387792
-0.0008708136,-0.009446445
-0.0007175822,-0.009480128
-0.00070048217,-0.009483887
-0.00018548686,-0.009597119
-0.00015934976,-0.009602866
-8.6144544e-05,-0.009618964
0.00010735914,-0.009661523
0.0004956247,-0.0097469315
0.0005258438,-0.00975358
0.0008076946,-0.009815594
0.0009237812,-0.009841139
0.0011354722,-0.009887728
0.0011725444,-0.009895887
0.0017318353,-0.010019008
0.0017427257,-0.010021405
0.0017637084,-0.010026026
0.0018453049,-0.010043992
0.0023475941,-0.010154611
0.0025139297,-0.010191252
0.002531672,-0.01019516
0.0027089487,-0.010234215
0.002950075,-0.010287343
0.0031784489,-0.010337669
0.0033234432,-0.010369625
0.0035501565,-0.010419599
0.0036436534,-0.01044021
0.003838894,-0.010483254
0.0041072895,-0.010542435
0.004147832,-0.010551374
0.0042825365,-0.010581081
0.0044952915,-0.010628007
0.004568064,-0.01064406
0.004743098,-0.010682672
0.004883359,-0.010713616
0.005147673,-0.010771938
0.0053359456,-0.010813487
0.0054824217,-0.010845815
0.0056517883,-0.0108832
0.005796068,-0.010915049
0.005926374,-0.010943818
0.0063869515,-0.011045522
0.0064127203,-0.011051213
0.006440511,-0.011057351
0.0065143853,-0.011073668
0.007081028,-0.011198847
0.0070999777,-0.011203034
0.0071662883,-0.011217685
0.0072819097,-0.011243234
0.0076831495,-0.011331914
0.0077176522,-0.011339541
0.007912623,-0.01138264
0.008167514,-0.0114389965
0.0082639,-0.01146031
0.008350419,-0.011479441
0.00865186,-0.01154611
0.008672789,-0.011550739
0.008691555,-0.011554889
0.008842224,-0.011588219
0.00897936,-0.011618557
0.009043974,-0.011632851
0.009148621,-0.011656005
0.009384127,-0.011708117
0.009418129,-0.011715641
0.00960373,-0.011756718
0.009604506,-0.011756889
0.009911491,-0.011824841
0.009991609,-0.011842577
0.010056911,-0.011857034
0.010109548,-0.011868688
0.01022589,-0.011894448
0.010508178,-0.011956958
0.0105626695,-0.011969027
0.010770266,-0.012015006
0.010828253,-0.012027851
0.010843548,-0.01203124
0.01095755,-0.012056492
0.011131313,-0.012094989
0.011405051,-0.012155643
0.011457512,-0.012167269
0.011540358,-0.012185628
0.011564154,-0.012190903
0.01162049,-0.012203388
0.011697543,-0.012220465
0.011850701,-0.012254414
0.011942546,-0.012274775
0.012067816,-0.012302544
0.012245985,-0.012342045
0.012261364,-0.012345457
0.012294514,-0.012352807
0.012462353,-0.012390024
0.012522141,-0.012403283
0.012674493,-0.012437072
0.012736511,-0.012450826
0.012822782,-0.012469963
0.012847193,-0.012475378
0.012945253,-0.012497129
0.013052475,-0.012520915
0.013099224,-0.012531288
0.013176713,-0.012548478
0.013277576,-0.012570857
0.013296049,-0.012574957
0.013381803,-0.012593985
0.013615137,-0.012645765
0.0136382785,-0.0126509005
0.013673821,-0.012658789
0.013877103,-0.012703909
0.013938438,-0.012717524
0.013984856,-0.012727827
0.013994048,-0.012729868
0.014051802,-0.01274269
0.014121755,-0.01275822
0.014245954,-0.012785794
0.01424903,-0.012786477
0.014325174,-0.012803384
0.014473107,-0.012836234
0.014486726,-0.012839258
0.014492686,-0.01284058
0.01451144,-0.012844746
0.01451605,-0.012845769
0.01478104,-0.012904623
0.01481565,-0.01291231
0.01484121,-0.012917987
0.014919924,-0.012935469
0.014939655,-0.012939854
0.015006046,-0.012954601
0.0150445625,-0.012963157
0.015057592,-0.012966054
0.015065619,-0.012967836
0.01534087,-0.01302899
0.015351423,-0.013031336
0.015382931,-0.013038335
0.015594074,-0.013085257
0.015630644,-0.013093385
0.015654678,-0.013098723
0.01568101,-0.013104578
0.015688602,-0.013106264
0.015749924,-0.013119893
0.015781235,-0.013126853
0.015926689,-0.013159185
0.015947822,-0.013163881
0.015955858,-0.013165668
0.01614123,-0.013206877
0.016209384,-0.013222031
0.01622879,-0.013226344
0.016240317,-0.013228908
0.016350172,-0.013253335
0.016510354,-0.013288953
0.016527241,-0.0132927075
0.016536726,-0.013294817
0.016552735,-0.013298377
0.016635878,-0.013316869
0.016686043,-0.013328025
0.016822571,-0.01335839
0.016828809,-0.0133597795
0.016850293,-0.013364557
0.016960114,-0.013388985
0.017013635,-0.013400892
0.017060736,-0.013411369
0.017070545,-0.013413551
0.017169278,-0.013435517
0.01722852,-0.013448698
0.017348254,-0.013475338
0.017357316,-0.013477355
0.017372856,-0.013480812
0.01740147,-0.013487179
0.017418655,-0.013491005
0.017483976,-0.013505539
0.017493485,-0.013507655
0.01762842,-0.0135376835
0.017671509,-0.013547273
0.017768672,-0.013568898
0.017822709,-0.013580926
0.017875873,-0.013592759
0.017905608,-0.013599379
0.017977051,-0.01361528
0.018136654,-0.013650811
0.018156735,-0.013655283
0.018179031,-0.013660247
0.018184008,-0.013661354
0.018306514,-0.013688631
0.018323885,-0.013692497
0.018325647,-0.01369289
0.018331751,-0.013694249
0.018495223,-0.013730651
0.018549351,-0.013742704
0.018737324,-0.013784568
0.018744115,-0.01378608
0.01876796,-0.013791392
0.0187863,-0.013795476
0.018837977,-0.013806987
0.01884206,-0.013807896
0.018918093,-0.013824832
0.018970868,-0.013836589
0.018992571,-0.013841424
0.019118404,-0.013869455
0.019161023,-0.013878951
0.019184858,-0.013884261
0.019239504,-0.013896437
0.019288398,-0.01390733
0.019375315,-0.013926697
0.019535705,-0.0139624365
0.019576384,-0.013971504
0.019612558,-0.013979565
0.01968424,-0.013995539
0.019691363,-0.013997128
0.019692732,-0.013997433
0.019798117,-0.014020922
0.019837253,-0.014029644
0.01989039,-0.014041489
0.019906301,-0.014045036
0.019990219,-0.014063744
0.020141875,-0.014097553
0.020142058,-0.014097592
0.020246893,-0.014120966
0.02024876,-0.014121382
0.020249048,-0.014121447
0.020383926,-0.014151521
0.02040254,-0.014155671
0.02043503,-0.014162917
0.020460725,-0.014168646
0.020591035,-0.014197707
0.020595858,-0.01419878
0.02061068,-0.014202088
0.02063854,-0.0142083
0.020806406,-0.014245741
0.020813357,-0.014247292
0.020880431,-0.014262253
0.02092844,-0.014272964
0.020961512,-0.01428034
0.020976016,-0.014283575
0.021038847,-0.0142975915
0.021222219,-0.014338503
0.021222694,-0.014338609
0.021344628,-0.014365815
0.021362802,-0.0143698715
0.021385968,-0.01437504
0.021470815,-0.014393975
0.0214853,-0.014397206
0.02148576,-0.014397309
0.021496017,-0.014399596
0.021506801,-0.014402004
0.021630557,-0.014429623
0.021716386,-0.014448779
0.02191612,-0.014493363
0.021930406,-0.014496551
0.021977378,-0.014507036
0.022007795,-0.014513828
0.022011073,-0.014514559
0.022036964,-0.01452034
0.022091161,-0.0145324385
0.022128247,-0.014540718
0.022168618,-0.01454973
0.022374153,-0.014595625
0.022441931,-0.014610759
0.022466395,-0.014616222
0.022468831,-0.014616767
0.022527631,-0.014629897
0.022549223,-0.014634719
0.022726342,-0.014674276
0.022744853,-0.014678413
0.022816546,-0.014694425
0.022830648,-0.014697576
0.022845466,-0.014700885
0.022849265,-0.014701735
0.022943975,-0.014722891
0.023013655,-0.014738457
0.023045281,-0.014745522
0.023085302,-0.014754465
0.023232343,-0.014787316
0.023247588,-0.014790723
0.02325758,-0.0147929555
0.023356713,-0.014815107
0.02346925,-0.014840256
0.023557942,-0.014860077
0.023560759,-0.014860705
0.023617942,-0.014873484
0.023619318,-0.014873794
0.023648316,-0.014880274
0.02369725,-0.014891211
0.023712207,-0.014894554
0.023963911,-0.014950819
0.023970667,-0.01495233
0.02400595,-0.014960216
0.024047649,-0.01496954
0.024074089,-0.014975451
0.02409928,-0.014981082
0.024135554,-0.0149891935
0.024146762,-0.014991699
0.024151295,-0.014992712
0.024206249,-0.015005
0.024286348,-0.015022909
0.024295313,-0.0150249135
0.024396254,-0.015047487
0.024445612,-0.015058524
0.02447348,-0.015064755
0.02456653,-0.015085567
0.024572492,-0.0150869
0.024585277,-0.01508976
0.024603005,-0.015093723
0.024637718,-0.015101489
0.024681255,-0.015111226
0.024788737,-0.015135268
0.024842218,-0.0151472315
0.024920609,-0.015164766
0.024937473,-0.015168538
0.024981063,-0.015178291
0.025008071,-0.015184334
0.025094345,-0.015203636
0.025164645,-0.015219364
0.025173288,-0.015221299
0.025183288,-0.015223537
0.025209218,-0.015229338
0.02522794,-0.015233527
0.025237475,-0.0152356615
0.025239127,-0.01523603
0.025442302,-0.015281497
0.025445119,-0.015282128
0.025558526,-0.015307508
0.0255798,-0.015312269
0.02560131,-0.015317084
0.025631398,-0.015323818
0.025663052,-0.015330903
0.025706027,-0.015340522
0.0257352,-0.015347052
0.025758347,-0.015352233
0.025875183,-0.015378386
0.025878778,-0.01537919
0.02597573,-0.015400897
0.025978167,-0.015401443
0.026007075,-0.015407914
0.026024003,-0.015411704
0.02610619,-0.015430105
0.026113242,-0.015431684
0.026199853,-0.015451077
0.026235973,-0.015459165
0.026259227,-0.015464373
0.026306724,-0.015475009
0.026347704,-0.015484184
0.026378293,-0.015491037
0.026383122,-0.015492117
0.026415301,-0.015499324
0.026498709,-0.015518004
0.026521716,-0.015523156
0.026609,-0.0155427065
0.026717005,-0.015566897
0.026726464,-0.015569016
0.026736926,-0.0155713605
0.026763164,-0.015577238
0.026780065,-0.015581025
0.02678132,-0.015581305
0.026805302,-0.015586678
0.026844349,-0.015595425
0.026932798,-0.01561524
0.026987739,-0.015627548
0.027097816,-0.015652211
0.027109757,-0.015654888
0.027165798,-0.015667444
0.02716771,-0.015667873
0.027183391,-0.015671387
0.027194023,-0.015673768
0.027237304,-0.015683468
0.027287629,-0.015694745
0.027301498,-0.015697854
0.027451912,-0.015731562
0.02747421,-0.01573656
0.027491778,-0.015740497
0.027513709,-0.01574541
0.027581474,-0.0157606
0.027588172,-0.015762102
0.027593343,-0.01576326
0.027608477,-0.015766654
0.027807254,-0.01581121
0.02780941,-0.015811695
0.027816214,-0.01581322
0.02781653,-0.015813291
0.02781978,-0.01581402
0.02795816,-0.015845044
0.027967667,-0.015847174
0.02799151,-0.015852518
0.027994312,-0.015853148
0.028019568,-0.01585881
0.028090503,-0.015874717
0.028105184,-0.015878009
0.02814193,-0.015886247
0.028180595,-0.015894918
0.028328538,-0.015928093
0.028336186,-0.01592981
0.028352614,-0.015933493
0.028353436,-0.015933678
0.028401725,-0.015944509
0.028439628,-0.015953008
0.02844448,-0.015954096
0.028467955,-0.015959362
0.028511561,-0.015969142
0.028599892,-0.015988955
0.028663253,-0.01600317
0.02873633,-0.01601956
0.028794583,-0.016032629
0.028810315,-0.016036158
0.028845055,-0.016043952
0.028850745,-0.01604523
0.028868085,-0.016049119
0.028903192,-0.016056996
0.028918654,-0.016060464
0.029092617,-0.016099498
0.029118823,-0.016105376
0.029121788,-0.016106043
0.029210862,-0.016126031
0.029219992,-0.016128082
0.029232034,-0.016130783
0.029240947,-0.016132783
0.029290387,-0.016143877
0.029358983,-0.016159272
0.029363472,-0.01616028
0.02939528,-0.016167419
0.02944954,-0.016179597
0.029461838,-0.01618236
0.029500106,-0.016190948
0.02958338,-0.01620964
0.029619848,-0.016217826
0.029630672,-0.016220257
0.029711396,-0.016238376
0.029777817,-0.016253289
0.02979691,-0.016257575
0.029869534,-0.016273879
0.029870365,-0.016274065
0.029874384,-0.016274968
0.029880192,-0.016276272
0.029905263,-0.0162819
0.030042265,-0.016312663
0.030072195,-0.016319383
0.030106595,-0.016327107
0.03013111,-0.016332615
0.030259091,-0.016361354
0.030330699,-0.016377438
0.030341454,-0.016379854
0.030357957,-0.016383559
0.030379228,-0.016388336
0.030383509,-0.016389297
0.030435845,-0.016401052
0.030454699,-0.016405288
0.030475432,-0.016409945
0.030549545,-0.016426593
0.03055909,-0.016428737
0.030562704,-0.01642955
0.030594895,-0.01643678
0.030636813,-0.016446196
0.030765548,-0.016475119
0.030811083,-0.016485348
0.030867884,-0.01649811
0.03088561,-0.016502094
0.030890862,-0.016503273
0.030915232,-0.016508749
0.030966705,-0.016520314
0.031013371,-0.0165308
0.03103587,-0.016535856
0.031044066,-0.016537698
0.031095684,-0.016549297
0.031205107,-0.016573887
0.03121664,-0.01657648
0.031267986,-0.01658802
0.031278446,-0.01659037
0.031279854,-0.016590687
0.031281743,-0.01659111
0.031382594,-0.016613778
0.03138878,-0.016615167
0.03138954,-0.016615339
0.03139647,-0.016616898
0.031410024,-0.016619943
0.03142622,-0.016623585
0.0314688,-0.016633157
0.031527136,-0.016646268
0.031619817,-0.016667103
0.03165623,-0.01667529
0.031695634,-0.016684148
0.031696197,-0.016684275
0.031735495,-0.016693112
0.031743582,-0.016694928
0.031757146,-0.016697979
0.031763043,-0.016699303
0.031787373,-0.016704774
0.03179721,-0.016706986
0.031834345,-0.016715335
0.031891044,-0.016728085
0.031900346,-0.016730176
0.031960264,-0.016743649
0.032008316,-0.016754454
0.032018736,-0.016756797
0.032053463,-0.016764607
0.03208843,-0.01677247
0.032111175,-0.016777586
0.032136172,-0.016783206
0.032206528,-0.01679903
0.032210577,-0.01679994
0.032277033,-0.016814888
0.032303825,-0.016820913
0.032390166,-0.016840333
0.03240251,-0.01684311
0.03242006,-0.01684706
0.032429688,-0.016849224
0.032487616,-0.016862255
0.032504912,-0.016866146
0.032508183,-0.016866881
0.0325266,-0.016871026
0.03256509,-0.016879683
0.03262269,-0.016892644
0.03263622,-0.016895687
0.0326673,-0.016902678
0.032736976,-0.016918354
0.032742623,-0.016919626
0.032752007,-0.016921736
0.032817386,-0.016936447
0.032879084,-0.01695033
0.032886926,-0.016952096
0.032902155,-0.016955521
0.032902993,-0.016955711
0.032942396,-0.016964577
0.03296506,-0.016969677
0.032973073,-0.016971482
0.033033565,-0.016985092
0.03308426,-0.016996503
0.03310793,-0.017001828
0.033118583,-0.01700423
0.033125963,-0.017005887
0.033213094,-0.017025499
0.033248883,-0.017033555
0.033307843,-0.017046824
0.033328116,-0.017051388
0.033358503,-0.017058227
0.033381358,-0.017063372
0.03340181,-0.017067976
0.03341679,-0.01707135
0.03344067,-0.017076725
0.033443198,-0.017077293
0.033456896,-0.017080378
0.033582535,-0.017108662
0.033617586,-0.017116554
0.03364729,-0.017123241
0.033704363,-0.017136091
0.03374958,-0.017146273
0.033774838,-0.01715196
0.03380229,-0.017158141
0.03382207,-0.017162597
0.03383607,-0.017165747
0.0338516,-0.017169246
0.03387349,-0.017174173
0.03389898,-0.017179916
0.03391446,-0.0171834
0.033955365,-0.017192611
0.03397522,-0.017197084
0.03398521,-0.017199332
0.034037046,-0.017211005
0.034082614,-0.01722127
0.034095585,-0.01722419
0.034183256,-0.017243937
0.034191344,-0.017245758
0.034209795,-0.017249916
0.034258775,-0.017260948
0.034341283,-0.017279534
0.03435177,-0.017281897
0.03436335,-0.017284505
0.03438645,-0.017289707
0.034394518,-0.017291527
0.03441587,-0.017296337
0.03446751,-0.01730797
0.034480926,-0.017310992
0.034489516,-0.017312927
0.034510445,-0.017317642
0.034607943,-0.01733961
0.034638464,-0.017346486
0.034664735,-0.017352406
0.03471588,-0.01736393
0.034717258,-0.017364241
0.03472827,-0.017366722
0.03474934,-0.017371468
0.03484381,-0.017392756
0.034850977,-0.017394371
0.034856647,-0.017395651
0.034888446,-0.017402817
0.034894783,-0.017404243
0.03493999,-0.017414432
0.03499196,-0.017426146
0.03502459,-0.0174335
0.03506948,-0.017443616
0.035081696,-0.017446369
0.035082996,-0.017446663
0.0351546,-0.017462801
0.035245214,-0.017483227
0.035258494,-0.017486222
0.035276487,-0.017490279
0.035297666,-0.017495051
0.035325084,-0.017501233
0.03533639,-0.017503781
0.03534369,-0.017505426
0.035380796,-0.017513793
0.035388473,-0.017515523
0.03541682,-0.017521912
0.035441205,-0.01752741
0.03544509,-0.017528288
0.035473026,-0.017534584
0.035527796,-0.017546933
0.035750803,-0.017597217
0.035771314,-0.017601844
0.035791766,-0.017606456
0.035799786,-0.017608264
0.035807446,-0.017609991
0.03581961,-0.017612733
0.035823427,-0.017613597
0.035835005,-0.017616209
0.035840984,-0.017617557
0.035857726,-0.01762133
0.03587156,-0.01762445
0.03587537,-0.01762531
0.035952915,-0.0176428
0.03596096,-0.017644614
0.03607439,-0.017670197
0.036084924,-0.017672574
0.036168788,-0.017691491
0.036256723,-0.017711328
0.036274098,-0.017715247
0.036276523,-0.017715795
0.03627962,-0.017716493
0.03629425,-0.017719794
0.036300678,-0.017721243
0.036335714,-0.01772915
0.03635153,-0.017732715
0.036360793,-0.017734807
0.036419164,-0.017747976
0.036445398,-0.017753894
0.036487505,-0.017763395
0.036529098,-0.01777278
0.036604322,-0.017789755
0.036631122,-0.017795801
0.03667649,-0.017806038
0.036690272,-0.017809149
0.03671996,-0.017815847
0.03672232,-0.017816382
0.03675352,-0.017823422
0.036779616,-0.01782931
0.036814056,-0.017837083
0.036827944,-0.017840218
0.036848485,-0.017844854
0.036888406,-0.017853864
0.03691309,-0.017859435
0.0370208,-0.017883746
0.037075277,-0.017896045
0.037087955,-0.017898906
0.037106235,-0.017903032
0.037146945,-0.017912222
0.03716315,-0.01791588
0.0371815,-0.017920023
0.037197374,-0.017923605
0.03724671,-0.017934745
0.037251964,-0.01793593
0.037256446,-0.017936941
0.037317704,-0.017950771
0.037330803,-0.017953727
0.037334673,-0.017954603
0.037422474,-0.017974427
0.037472896,-0.017985811
0.037483886,-0.017988294
0.037521966,-0.017996892
0.03760212,-0.018014992
0.037602834,-0.018015154
0.037604026,-0.018015422
0.037641354,-0.018023852
0.03771007,-0.018039372
0.0377312,-0.018044144
0.037757054,-0.018049981
0.03777256,-0.018053485
0.037801847,-0.018060097
0.037805043,-0.01806082
0.037819367,-0.018064056
0.037844524,-0.018069737
0.03786935,-0.018075345
0.037895933,-0.018081348
0.037937462,-0.018090729
0.037960365,-0.018095903
0.03803927,-0.018113727
0.038063314,-0.018119158
0.038074493,-0.018121682
0.038091686,-0.018125568
0.038099542,-0.018127343
0.038203903,-0.018150918
0.038264643,-0.018164644
0.038289994,-0.018170368
0.038302585,-0.018173214
0.03831572,-0.018176183
0.0383527,-0.018184537
0.03835528,-0.01818512
0.0383561,-0.018185306
0.03842635,-0.01820118
0.038452297,-0.018207043
0.038474612,-0.018212084
0.038536314,-0.018226027
0.038556088,-0.018230498
0.038650826,-0.018251907
0.03865878,-0.018253705
0.038670115,-0.018256266
0.038674574,-0.018257273
0.038749292,-0.018274162
0.03876104,-0.018276816
0.03876768,-0.018278318
0.03877261,-0.018279433
0.038784347,-0.018282084
0.03886312,-0.018299889
0.038908176,-0.018310074
0.038947437,-0.018318947
0.039010994,-0.018333316
0.039023545,-0.018336155
0.039051767,-0.018342534
0.03909573,-0.018352471
0.039098404,-0.018353077
0.039122246,-0.018358467
0.039143242,-0.018363215
0.0391732,-0.018369988
0.039182387,-0.018372064
0.039245855,-0.018386416
0.039252926,-0.018388014
0.03926468,-0.01839067
0.03933999,-0.018407699
0.039368086,-0.018414052
0.03937603,-0.01841585
0.03943042,-0.01842815
0.03944362,-0.018431135
0.03946428,-0.018435806
0.039546017,-0.01845429
0.03959679,-0.018465774
0.03960993,-0.018468745
0.03972757,-0.018495351
0.039730985,-0.018496126
0.039740246,-0.01849822
0.039743584,-0.018498976
0.039765093,-0.01850384
0.039770056,-0.018504962
0.03980667,-0.018513247
0.039834335,-0.018519504
0.03984786,-0.018522562
0.039870232,-0.018527623
0.039885256,-0.01853102
0.039915968,-0.018537968
0.040010884,-0.018559443
0.04007466,-0.018573873
0.04007817,-0.018574666
0.040099733,-0.018579546
0.040151313,-0.018591214
0.04016421,-0.01859413
0.04019841,-0.018601872
0.040206816,-0.018603772
0.04022109,-0.018607004
0.040223926,-0.018607643
0.04036607,-0.01863981
0.0403696,-0.018640608
0.040377922,-0.01864249
0.040424667,-0.01865307
0.04042785,-0.01865379
0.040434342,-0.01865526
0.040436804,-0.018655816
0.040456317,-0.018660232
0.040537465,-0.018678598
0.040612392,-0.018695557
0.040625077,-0.018698428
0.040680453,-0.018710962
0.040697217,-0.018714756
0.040762804,-0.018729605
0.040768888,-0.01873098
0.04077661,-0.01873273
0.040814597,-0.018741328
0.040826637,-0.018744053
0.04083812,-0.018746652
0.040866233,-0.018753018
0.040998355,-0.018782929
0.04099974,-0.018783243
0.041011177,-0.018785832
0.04101152,-0.018785909
0.04105007,-0.018794639
0.041063674,-0.018797718
0.041070715,-0.018799312
0.041103374,-0.018806707
0.041124456,-0.018811481
0.041151926,-0.0188177
0.04117197,-0.018822242
0.04120041,-0.018828683
0.04125122,-0.018840186
0.04126157,-0.018842531
0.041360173,-0.018864859
0.041379977,-0.018869344
0.04138598,-0.018870704
0.04143778,-0.018882435
0.04145736,-0.01888687
0.0414714,-0.01889005
0.04147341,-0.018890506
0.041621283,-0.018924
0.041641116,-0.018928492
0.041645385,-0.01892946
0.04166396,-0.018933667
0.041687343,-0.018938962
0.041690547,-0.018939689
0.041706994,-0.018943414
0.041771114,-0.018957943
0.0417721,-0.018958166
0.04181744,-0.018968437
0.041851476,-0.018976148
0.04189513,-0.018986039
0.041914485,-0.018990424
0.04200235,-0.019010331
0.042076334,-0.019027095
0.04208853,-0.01902986
0.042106327,-0.01903389
0.042117465,-0.019036416
0.042127494,-0.019038688
0.04215089,-0.01904399
0.04215515,-0.019044954
0.042162593,-0.019046642
0.04223102,-0.019062147
0.042266797,-0.019070257
0.04230788,-0.019079568
0.04231523,-0.019081233
0.04231533,-0.019081257
0.042340167,-0.019086886
0.042369783,-0.019093595
0.042440444,-0.019109612
0.04248832,-0.019120466
0.042506862,-0.019124668
0.0425381,-0.019131748
0.042553723,-0.019135289
0.042588226,-0.019143112
0.042593278,-0.019144256
0.042629432,-0.019152451
0.042733748,-0.019176101
0.042774446,-0.019185327
0.042808466,-0.019193038
0.04282325,-0.019196393
0.042826295,-0.019197082
0.04285026,-0.019202515
0.04288865,-0.019211221
0.042899914,-0.019213773
0.042919956,-0.019218322
0.04292535,-0.019219544
0.042944588,-0.019223904
0.043004546,-0.0192375
0.04301688,-0.019240297
0.043034162,-0.019244216
0.043057688,-0.019249551
0.043108318,-0.019261034
0.043150693,-0.019270644
0.04319278,-0.019280188
0.043202445,-0.019282378
0.043234624,-0.019289678
0.043256264,-0.019294586
0.04326075,-0.019295603
0.043274917,-0.019298818
0.043300748,-0.019304674
0.043309897,-0.01930675
0.043311097,-0.019307021
0.04340213,-0.01932767
0.04344206,-0.019336727
0.043473564,-0.019343875
0.043478034,-0.019344889
0.043506734,-0.0193514
0.043525867,-0.019355739
0.043534443,-0.019357685
0.043539822,-0.019358907
0.04356609,-0.019364864
0.043577857,-0.019367533
0.04360359,-0.01937337
0.043680467,-0.019390812
0.043721862,-0.019400205
0.043724794,-0.019400869
0.043775648,-0.019412408
0.043791,-0.01941589
0.043806806,-0.019419476
0.043870084,-0.019433836
0.043875247,-0.019435007
0.043895848,-0.019439682
0.04391149,-0.019443233
0.04393721,-0.019449068
