,complexity,loss,score,sympy_format
3,5,0.0022246426,1.5431237300236818,x0*(-0.16600157) - 1*(-0.23117396)
2,4,0.010409512,0.5178889252052834,x0**3*(-0.0069151055)
4,6,0.001994725,0.10909007727361024,log(1 + x0*(-0.12208403)) + 0.19809859
5,7,0.0018114697,0.09636769148552686,tanh(log(1.23143677 + x0*(-0.1595405)))
1,3,0.017472163,0.011042548667204532,0.017204147/x0
