,symbolic_function
0,0.00049908521314654*(-0.528978657170389*x0 - 1)**3 + 0.000500809808727354
1,0.000379989156499505 - 0.000437264455469078*(-x0 - 0.928669638312693)**2
2,0.000808469718322158 - 0.000808135901947893*exp(0.967599809169769*x0)
3,0.00176126440055668 - 0.000457502348581329*tan(0.108000069856644*x0 + 7.59999990463257)
4,-0.00134066166356206*tanh(1.01151978969574*x0 - 0.760559856891632) - 0.000855806982144713
