,symbolic_function
0,0.00622889026999474 - 0.0140738096450907*exp(-10.0*x0)
1,-0.00762560785005917*(-x0 - 0.980000019073486)**3 - 0.0150220803916454
2,0.0122009725600947*(-x0 - 0.980000019073486)**2 - 0.0195627324283123
3,-0.00488038902403787*x0 - 0.00784491953095387
4,0.00272233504801989*log(0.19999985396862 - 10.0*x0) - 0.00346348760649562
